Model,MAE,RMSE,R2
Linear Regression,22.884692895314707,32.35314208380482,0.5462294405899422
Random Forest,18.621233540597295,28.368137764667235,0.6511288634260497
XGBoost,18.056932935441374,27.758351194153217,0.665965966590327
