feature,importance
pm25,0.8191659
pm10,0.10915775
aqi_lag_1,0.028933184
hour_sin,0.0057530436
month_cos,0.0055746334
hour_cos,0.00504345
aqi_lag_24,0.004582057
temperature_2m,0.0035180524
surface_pressure,0.0031230429
relative_humidity_2m,0.0030835364
month_sin,0.0029093155
aqi_lag_168,0.0024748286
wind_speed_10m,0.0024555516
cloud_cover,0.002263488
precipitation,0.0019621048
